,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령
939,2013년 7월 30일 23시,화요일,서울특별시 노원구 상계동,경상사고,0,0,4,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,55세,상해없음,승용,남,36세
940,2013년 7월 31일 00시,수요일,서울특별시 노원구 상계동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,16세,상해없음,승용,여,39세
941,2013년 7월 31일 08시,수요일,서울특별시 광진구 구의동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,승용,남,46세
943,2013년 7월 31일 18시,수요일,서울특별시 은평구 구산동,부상신고사고,0,0,0,1,차대차 - 추돌 - 주정차중,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,자전거,남,12세
944,2013년 8월 1일 17시,목요일,서울특별시 강서구 화곡동,경상사고,0,0,2,0,차량단독 - 기타,안전운전불이행,포장 - 기타,맑음,교차로 - 교차로부근,승용,남,57세,상해없음,,,
945,2013년 8월 1일 18시,목요일,서울특별시 동작구 대방동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,남,6세
946,2013년 8월 1일 19시,목요일,서울특별시 관악구 신림동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도상,승용,기타불명,기타불명,기타불명,보행자,여,7세
947,2013년 8월 2일 00시,금요일,서울특별시 마포구 대흥동,중상사고,0,3,0,0,차대차 - 추돌 - 진행중,차로위반,포장 - 건조,맑음,단일로 - 횡단보도부근,승용,남,59세,상해없음,승용,남,39세
949,2013년 8월 2일 19시,금요일,서울특별시 구로구 고척동,경상사고,0,0,3,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,남,43세,상해없음,승용,남,46세
950,2013년 8월 3일 00시,토요일,서울특별시 서대문구 연희동,경상사고,0,0,5,0,차대차 - 추돌 - 진행중,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,54세,상해없음,승용,남,39세
951,2013년 8월 3일 09시,토요일,서울특별시 강남구 신사동,부상신고사고,0,0,0,2,차대차 - 측면직각충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,63세,상해없음,승용,남,42세
952,2013년 8월 3일 18시,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,화물,남,32세,상해없음,자전거,남,9세
953,2013년 8월 3일 18시,토요일,서울특별시 노원구 하계동,중상사고,0,1,0,1,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,53세,상해없음,이륜,남,38세
954,2013년 8월 3일 22시,토요일,서울특별시 송파구 가락동,중상사고,0,5,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,48세,상해없음,승용,여,42세
955,2013년 8월 4일 15시,일요일,서울특별시 구로구 고척동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,47세,상해없음,승용,여,25세
956,2013년 8월 4일 19시,일요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,22세,상해없음,보행자,남,5세
957,2013년 8월 5일 13시,월요일,서울특별시 강남구 삼성동,중상사고,0,1,2,0,차대차 - 추돌 - 주정차중,안전거리미확보,포장 - 습기,비,단일로 - 기타,승용,남,59세,상해없음,승용,남,36세
958,2013년 8월 5일 14시,월요일,서울특별시 중랑구 묵동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 습기,비,교차로 - 교차로안,승용,남,51세,상해없음,보행자,여,9세
959,2013년 8월 5일 14시,월요일,서울특별시 송파구 풍납동,중상사고,0,1,5,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 습기,비,단일로 - 기타,승용,남,65세,상해없음,승용,여,42세
960,2013년 8월 5일 14시,월요일,서울특별시 서초구 원지동,경상사고,0,0,4,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 습기,흐림,단일로 - 기타,승용,남,53세,상해없음,승용,여,43세
961,2013년 8월 5일 16시,월요일,서울특별시 용산구 후암동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 횡단보도상,승용,여,29세,상해없음,보행자,여,10세
962,2013년 8월 5일 17시,월요일,서울특별시 서대문구 북가좌동,부상신고사고,0,0,0,3,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,원동기,남,16세,부상신고,승용,여,40세
963,2013년 8월 5일 17시,월요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,보행자,남,7세
964,2013년 8월 5일 18시,월요일,서울특별시 송파구 삼전동,부상신고사고,0,0,0,1,차대차 - 측면직각충돌,안전운전불이행,포장 - 기타,기타,기타 - 기타,승용,남,46세,상해없음,자전거,남,9세
965,2013년 8월 5일 19시,월요일,서울특별시 강남구 청담동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도부근,승용,남,45세,기타불명,보행자,여,12세
966,2013년 8월 5일 21시,월요일,서울특별시 영등포구 영등포동7가,중상사고,0,2,1,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도부근,승용,남,63세,상해없음,승용,남,31세
967,2013년 8월 6일 08시,화요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 습기,흐림,단일로 - 기타,승용,기타불명,기타불명,기타불명,보행자,남,9세
968,2013년 8월 6일 11시,화요일,서울특별시 구로구 오류동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,화물,남,44세,상해없음,보행자,남,7세
969,2013년 8월 6일 15시,화요일,서울특별시 양천구 신정동,중상사고,0,1,2,1,차대차 - 정면충돌,신호위반,포장 - 건조,흐림,교차로 - 교차로안,화물,남,48세,상해없음,승합,남,28세
970,2013년 8월 6일 15시,화요일,서울특별시 노원구 하계동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 습기,비,교차로 - 교차로안,화물,남,56세,상해없음,승용,여,40세
971,2013년 8월 6일 22시,화요일,서울특별시 금천구 시흥동,경상사고,0,0,2,1,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,,,
972,2013년 8월 7일 00시,수요일,서울특별시 광진구 중곡동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 습기,흐림,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,37세
973,2013년 8월 7일 09시,수요일,서울특별시 서초구 방배동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,71세,상해없음,승용,여,36세
974,2013년 8월 7일 16시,수요일,서울특별시 강북구 수유동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,기타불명,기타불명,보행자,남,7세
975,2013년 8월 7일 20시,수요일,서울특별시 강동구 천호동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,57세,상해없음,자전거,여,39세
976,2013년 8월 8일 15시,목요일,서울특별시 중구 예장동,경상사고,0,0,7,0,차대차 - 추돌 - 진행중,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,승용,남,57세,상해없음,승용,남,34세
